dia1d20ci
53
53
53
52
52
49
51
50
46
43
48
44
42
45
44
44
44
43
42
42
42
42
43
43
50
52
48
50
46
47
48
48
44
45
47
45
46
46
45
46
45
44
43
44
44
43
43
53
49
53
49
51
48
47
51
43
50
48
50
45
44
45
46
48
44
47
43
45
45
43
42
44
51
52
52
54
40
48
43
50
41
46
46
45
46
41
45
45
49
39
44
45
40
45
44
52
51
53
48
50
50
50
49
50
50
48
47
47
48
47
46
48
45
48
47
46
