dia10d15ci
111
84
86
95
87
83
112
102
99
99
92
80
122
109
125
97
119
128
114
108
97
103
130
126
122
115
140
120
96
107
131
95
104
107
96
89
77
75
74
68
73
135
124
116
109
111
112
105
106
93
91
89
