dia4d20ci
59
58
52
53
43
48
51
46
50
57
60
62
67
78
66
54
63
68
50
56
61
50
56
54
54
56
68
70
68
69
65
58
59
61
63
84
74
79
73
73
46
54
55
55
54
55
52
55
46
50
61
61
73
65
61
64
51
64
61
64
53
58
58
55
57
47
61
51
60
62
62
59
62
61
59
61
62
62
80
76
77
87
69
74
74
