T3,D2
1,53
1,53
1,53
1,52
1,52
1,49
1,51
1,50
1,46
1,43
1,48
1,44
1,42
1,45
1,44
1,44
1,44
1,43
1,42
1,42
1,42
1,42
1,43
1,43
1,50
1,52
1,48
1,50
1,46
1,47
1,48
1,48
1,44
1,45
1,47
1,45
1,46
1,46
1,45
1,46
1,45
1,44
1,43
1,44
1,44
1,43
1,43
1,53
1,49
1,53
1,49
1,51
1,48
1,47
1,51
1,43
1,50
1,48
1,50
1,45
1,44
1,45
1,46
1,48
1,44
1,47
1,43
1,45
1,45
1,43
1,42
1,44
1,51
1,52
1,52
1,54
1,40
1,48
1,43
1,50
1,41
1,46
1,46
1,45
1,46
1,41
1,45
1,45
1,49
1,39
1,44
1,45
1,40
1,45
1,44
1,52
1,51
1,53
1,48
1,50
1,50
1,50
1,49
1,50
1,50
1,48
1,47
1,47
1,48
1,47
1,46
1,48
1,45
1,48
1,47
1,46
2,63
2,52
2,56
2,55
2,54
2,54
2,54
2,55
2,55
2,52
2,55
2,54
2,64
2,43
2,56
2,56
2,56
2,60
2,56
2,55
2,55
2,52
2,55
2,54
2,57
2,51
2,57
2,52
2,55
2,52
2,52
2,53
2,53
2,50
2,50
2,46
2,50
2,49
2,48
2,49
2,51
2,56
2,58
2,58
2,60
2,52
2,55
2,55
2,57
2,56
2,57
2,55
2,58
2,57
2,55
2,58
2,57
2,65
2,57
2,51
2,55
2,52
2,50
2,51
2,50
2,52
2,48
2,49
2,50
2,47
2,49
2,47
2,47
2,48
2,49
2,50
2,47
2,63
2,59
2,57
2,58
2,60
2,62
2,61
2,57
2,58
2,58
2,49
2,52
2,55
2,48
2,52
2,51
2,50
2,53
2,53
2,54
2,54
3,77
3,76
3,77
3,72
3,68
3,63
3,65
3,67
3,54
3,56
3,56
3,51
3,63
3,56
3,56
3,53
3,46
3,53
3,51
3,54
3,78
3,62
3,68
3,65
3,58
3,62
3,63
3,61
3,62
3,61
3,60
3,59
3,61
3,62
3,60
3,62
3,61
3,57
3,59
3,58
3,64
3,56
3,58
3,57
3,55
3,55
3,56
3,61
3,58
3,62
3,50
3,52
3,48
3,57
3,52
3,56
3,47
3,51
3,51
3,44
3,56
3,48
3,66
3,64
3,68
3,55
3,62
3,58
3,65
3,60
3,64
3,73
3,68
3,67
3,66
3,65
3,65
3,66
3,66
4,59
4,58
4,52
4,53
4,43
4,48
4,51
4,46
4,50
4,57
4,60
4,62
4,67
4,78
4,66
4,54
4,63
4,68
4,50
4,56
4,61
4,50
4,56
4,54
4,54
4,56
4,68
4,70
4,68
4,69
4,65
4,58
4,59
4,61
4,63
4,84
4,74
4,79
4,73
4,73
4,46
4,54
4,55
4,55
4,54
4,55
4,52
4,55
4,46
4,50
4,61
4,61
4,73
4,65
4,61
4,64
4,51
4,64
4,61
4,64
4,53
4,58
4,58
4,55
4,57
4,47
4,61
4,51
4,60
4,62
4,62
4,59
4,62
4,61
