T3,D2
4,59
4,61
4,62
4,62
4,80
4,76
4,77
4,87
4,69
4,74
4,74
5,65
5,59
5,63
5,62
5,66
5,57
5,62
5,68
5,47
5,91
5,99
5,91
5,85
5,91
5,96
5,95
5,92
5,86
5,84
5,76
5,66
5,64
5,74
5,66
5,58
5,52
5,92
5,45
5,48
5,48
5,57
5,87
5,81
5,81
5,77
5,71
5,68
5,66
5,62
5,70
5,72
5,67
5,67
5,65
5,67
5,65
5,63
5,84
5,76
5,71
5,66
5,67
5,54
5,66
5,70
5,65
5,55
5,62
5,63
5,59
5,63
5,61
5,102
5,110
5,107
5,96
5,97
5,76
5,74
5,75
5,74
5,73
5,72
5,75
5,76
6,76
6,74
6,71
6,69
6,72
6,71
6,68
6,69
6,97
6,69
6,86
6,117
6,98
6,110
6,118
6,121
6,116
6,108
6,60
6,66
6,50
6,55
6,54
6,120
6,63
6,64
6,62
6,67
6,134
6,118
6,53
6,59
6,49
6,63
6,49
6,97
6,86
6,92
6,94
6,87
6,90
6,67
6,58
6,61
6,66
6,67
6,73
6,69
6,66
6,72
6,60
6,63
6,66
6,67
6,68
6,66
6,68
6,68
6,67
6,94
6,90
6,92
6,83
6,70
6,83
6,82
6,121
6,116
6,115
6,100
6,104
7,82
7,85
7,150
7,131
7,142
7,132
7,113
7,65
7,71
7,59
7,58
7,54
7,56
7,46
7,49
7,50
7,57
7,105
7,126
7,80
7,96
7,116
7,74
7,118
7,112
7,104
7,87
7,87
7,84
7,87
7,86
7,87
7,91
7,102
7,110
7,99
7,94
7,87
7,106
7,104
7,92
7,98
7,101
7,75
7,95
7,97
7,93
7,93
7,88
7,88
8,132
8,120
8,119
8,99
8,111
8,108
8,104
8,131
8,78
8,100
8,79
8,87
8,93
8,91
8,103
8,95
8,87
8,135
8,118
8,136
8,113
8,112
8,110
8,116
8,105
8,104
8,111
8,114
8,111
8,107
8,102
8,100
8,92
8,102
8,107
8,112
8,125
8,118
8,116
8,117
8,114
9,95
9,90
9,88
9,92
9,83
9,99
9,133
9,105
9,101
9,95
9,112
9,78
9,76
9,77
9,74
9,75
9,75
9,64
9,69
9,116
9,121
9,129
9,118
9,89
9,90
9,89
9,86
9,88
9,90
9,102
9,107
9,106
9,110
9,98
9,131
9,139
9,127
9,129
10,94
10,96
10,96
10,88
10,91
10,92
10,60
10,88
10,105
10,108
10,110
10,96
10,108
10,96
10,82
10,85
10,81
10,87
10,148
10,129
10,126
10,111
10,105
10,90
10,89
10,88
10,94
10,86
10,166
10,150
10,146
10,143
10,139
10,119
10,122
11,90
11,90
11,90
11,110
11,110
11,110
11,91
11,91
11,108
11,108
11,103
11,103
11,94
11,94
11,109
11,92
11,92
11,93
11,105
11,105
11,99
11,99
11,99
11,99
11,95
11,95
11,95
11,95
11,95
11,97
11,97
11,97
11,97
11,97
11,106
11,104
11,96
11,96
11,96
11,96
11,97
11,97
11,95
11,95
11,95
11,96
11,92
11,92
11,91
11,90
11,105
11,106
11,115
12,90
12,90
12,90
12,110
12,110
12,110
12,91
12,91
12,108
12,108
12,103
12,103
12,94
12,94
12,109
12,92
12,92
12,93
12,105
12,105
12,99
12,99
12,99
12,99
12,95
12,95
12,95
12,95
12,95
12,97
12,97
12,97
12,97
12,97
12,106
12,104
12,96
12,96
12,96
12,96
12,97
12,97
12,95
12,95
12,95
12,96
12,92
12,92
12,91
12,90
12,105
12,106
12,115
13,90
13,90
13,90
13,110
13,110
13,110
13,91
13,91
13,108
13,108
13,103
13,103
13,94
13,94
13,109
13,92
13,92
13,93
13,105
13,105
13,99
13,99
13,99
13,99
13,95
13,95
13,95
13,95
13,95
13,97
13,97
13,97
13,97
13,97
13,106
13,104
13,96
13,96
13,96
13,96
13,97
13,97
13,95
13,95
13,95
13,96
13,92
13,92
13,91
13,90
13,105
13,106
13,115
