dia5d15ci
90
102
93
92
84
82
108
110
101
94
88
82
109
97
97
92
112
108
100
91
87
81
92
91
89
85
83
79
99
97
82
89
94
83
110
105
98
96
90
87
91
83
85
78
75
72
69
93
95
93
92
82
84
117
123
