dia5d20ci
65
59
63
62
66
57
62
68
47
91
99
91
85
91
96
95
92
86
84
76
66
64
74
66
58
52
92
45
48
48
57
87
81
81
77
71
68
66
62
70
72
67
67
65
67
65
63
84
76
71
66
67
54
66
70
65
55
62
63
59
63
61
102
110
107
96
97
76
74
75
74
73
72
75
76
