dia9d15ci
127
115
110
95
80
137
146
117
104
89
95
87
90
75
79
119
110
105
99
97
135
130
118
119
130
127
118
111
98
108
77
95
78
85
119
120
114
125
97
124
125
107
101
103
109
122
105
106
104
