dia2b20ci
99
91
89
101
96
93
91
90
92
91
95
100
101
101
100
92
101
96
101
98
101
95
98
99
88
97
93
97
90
99
96
98
98
100
95
94
96
96
93
92
92
102
95
94
96
98
97
97
98
97
98
96
91
89
86
99
98
96
95
