dia4d15ci
87
79
66
80
68
74
63
71
83
76
69
73
66
65
63
60
78
76
71
68
72
65
73
78
88
70
77
75
70
85
84
83
82
101
85
72
78
76
74
75
84
84
81
78
77
78
69
97
91
83
86
77
76
75
92
93
81
84
78
76
74
89
