dia1d15ci,dia2d15ci,dia3d15ci,dia4d15ci,dia5d15ci
54,77,74,87,90
58,76,74,79,102
50,83,64,66,93
52,72,71,80,92
50,56,68,68,84
55,75,71,74,82
44,53,55,63,108
59,52,74,71,110
40,89,88,83,101
51,75,88,76,94
59,69,70,69,88
70,71,76,73,82
59,65,83,66,109
62,77,73,65,97
60,53,71,63,97
61,70,98,60,92
59,85,89,78,112
57,75,81,76,108
51,69,89,71,100
56,59,72,68,91
51,61,75,72,87
62,67,75,65,81
59,59,80,73,92
55,62,95,78,91
55,75,82,88,89
61,74,96,70,85
59,71,76,77,83
62,66,74,75,79
54,64,76,70,99
64,68,84,85,97
50,59,95,84,82
63,59,82,83,89
56,57,96,82,94
53,73,76,101,83
59,75,74,85,110
75,62,76,72,105
81,69,92,78,98
71,66,74,76,96
78,63,77,74,90
62,71,75,75,87
71,52,69,84,91
74,59,70,84,83
74,79,70,81,85
70,91,87,78,78
66,78,89,77,75
65,73,74,78,72
66,73,70,69,69
66,70,70,97,93
62,66,95,91,95
65,62,89,83,93
53,86,86,86,92
64,72,87,77,82
43,81,72,76,84
54,65,78,75,117
51,87,76,92,123
57,63,90,93,
45,96,87,81,
57,96,81,84,
39,87,78,78,
55,81,71,76,
77,72,71,74,
73,66,75,89,
70,73,103,,
71,94,107,,
66,85,93,,
69,76,94,,
65,76,,,
72,83,,,
77,66,,,
71,70,,,
75,89,,,
69,81,,,
66,82,,,
67,77,,,
67,72,,,
69,79,,,
73,69,,,
68,,,,
65,,,,
64,,,,
64,,,,
64,,,,
