Gusano ,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10
1,97,73,90,77,71,48,45,62,61,56
1,86,96,54,100,82,62,54,61,51,66
1,94,77,57,101,76,61,53,55,55,79
2,99,102,93,86,88,69,46,49,62,41
2,107,104,93,106,90,74,41,59,46,53
2,110,106,101,99,73,79,48,38,39,44
3,90,97,69,96,88,62,47,49,15,39
3,90,95,46,102,92,53,55,43,26,52
3,98,96,76,95,88,58,58,42,59,45
4,90,87,73,71,69,79,56,45,52,71
4,103,90,88,85,71,78,49,43,47,70
4,108,96,70,101,61,82,78,59,44,74
5,96,88,78,46,51,45,74,53,89,48
5,93,92,64,85,68,46,64,42,73,60
5,101,90,84,83,79,77,51,65,73,36
6,95,93,64,101,72,63,70,69,74,39
6,97,92,55,58,79,54,53,71,57,65
6,94,102,62,34,85,62,71,67,83,51
7,107,109,48,68,58,51,51,8,37,56
7,83,101,84,56,86,62,38,5,39,57
7,91,108,83,54,66,68,64,15,34,54
8,96,91,87,83,66,49,39,11,53,49
8,95,62,83,82,66,50,70,16,54,43
8,94,84,83,90,70,48,59,22,54,38
9,94,99,58,70,71,49,57,5,44,38
9,90,103,70,78,43,47,47,9,57,39
9,90,78,77,71,57,62,77,10,54,29
10,89,66,82,73,79,87,46,71,59,30
10,91,95,62,75,59,77,77,70,56,50
10,102,60,73,79,59,81,79,53,50,33
