dia7d15ci
94
99
95
99
88
95
74
83
84
86
86
75
69
127
142
129
131
84
103
99
89
88
91
123
112
96
90
119
114
120
111
95
140
143
116
123
108
118
108
101
92
104
112
105
112
87
129
121
118
114
103
