TD20MIN,DD20MIN,TD20MAX,DD20MAX
1,46,1,47
2,53,2,55
3,57,3,60
4,59,4,63
5,69,5,75
6,75,6,85
7,85,7,98
8,104,8,112
9,92,9,105
10,98,10,114
