dia10b20ci
31
28
28
33
37
42
72
71
67
61
63
60
76
79
79
80
75
79
60
60
62
66
64
66
74
72
66
67
68
60
61
65
58
48
45
43
48
46
48
75
70
71
70
61
63
61
79
64
