dia6d15ci
102
108
91
93
85
88
76
62
56
100
92
114
77
74
76
70
72
84
58
65
129
125
108
104
98
97
98
92
87
83
81
105
96
95
89
83
85
139
126
135
100
115
105
109
98
95
117
113
102
96
87
139
118
117
108
