dia7b20ci
83
79
78
61
65
87
91
82
92
92
91
96
96
89
105
103
100
90
72
89
61
60
79
82
77
84
95
92
92
90
93
97
91
99
86
88
87
74
71
72
88
82
83
79
87
81
91
93
99
77
80
78
