dia1b15ci
108
102
106
106
107
110
111
105
108
111
107
111
104
105
105
104
101
100
103
99
102
103
103
101
105
110
107
108
107
108
103
107
108
100
104
108
103
103
102
103
102
110
103
105
106
109
102
105
111
114
108
104
