dia4b15ci
88
86
84
99
93
99
96
103
96
95
93
95
93
95
100
100
91
97
93
102
98
103
94
96
92
89
92
91
92
95
102
90
87
92
100
93
103
101
99
96
84
78
82
90
86
88
93
107
109
99
94
95
101
99
96
