dia6b15ci
95
85
99
75
90
86
73
70
73
84
85
86
61
70
87
77
79
72
73
85
82
86
90
83
85
74
80
86
89
86
98
82
82
81
84
80
77
73
81
79
80
75
81
86
80
78
89
84
85
77
74
77
79
74
82
