dia2d20ci
63
52
56
55
54
54
54
55
55
52
55
54
64
43
56
56
56
60
56
55
55
52
55
54
57
51
57
52
55
52
52
53
53
50
50
46
50
49
48
49
51
56
58
58
60
52
55
55
57
56
57
55
58
57
55
58
57
65
57
51
55
52
50
51
50
52
48
49
50
47
49
47
47
48
49
50
47
63
59
57
58
60
62
61
57
58
58
49
52
55
48
52
51
50
53
53
54
54
