dia5b20ci
95
82
90
98
97
94
87
80
99
96
106
101
96
98
98
99
100
108
96
106
107
103
118
113
113
116
112
116
117
121
112
112
97
108
116
99
104
99
111
106
98
108
108
112
84
91
93
105
95
105
107
108
109
